value
2.53
1.19
1.60
1.47
1.31
1.62
2.71
2.11
1.08
9.72
1.30
8.10
1.98
1.19
2.38
4.40
1.38
3.55
27.04
3.02
1.52
1.20
1.76
9.50
1.53
1.33
8.11
1.06
2.53
1.19
1.60
1.47
1.31
1.62
2.71
2.11
1.08
9.72
1.30
8.10
1.98
1.19
2.38
1.38
3.55
27.04
3.02
1.52
1.20
1.76
1.53
4.40
9.50
1.33
