value
1.59
1.58
1.32
63.96
6.89
1.56
4.48
2.20
2.14
17.47
1.26
2.22
2.56
1.83
3.20
2.08
2.78
1.60
2.58
7.46
1.26
7.08
5.06
94.01
4.65
1.08
1.12
1.99
1.59
2.02
2.95
21.92
2.20
1.69
1.06
4.28
10.16
3.84
2.02
1.10
1.42
1.59
2.60
2.49
1.16
1.59
1.58
1.32
63.96
6.89
1.56
4.48
2.20
2.14
17.47
